,name,site_link
292,몸 기울이기/회전하기,/entry.naver?docId=3535605&categoryId=58501&cid=58501
293,발 닿기,/entry.naver?docId=3535606&categoryId=58501&cid=58501
294,물누르기/올리기,/entry.naver?docId=3535607&categoryId=58501&cid=58501
295,옆구리늘리기,/entry.naver?docId=3535608&categoryId=58501&cid=58501
296,물당기기/밀기,/entry.naver?docId=3535609&categoryId=58501&cid=58501
297,엉덩관절 회전하기,/entry.naver?docId=3535610&categoryId=58501&cid=58501
298,수영,/entry.naver?docId=3535611&categoryId=58501&cid=58501
299,계단 뛰어 오르기,/entry.naver?docId=3535612&categoryId=58501&cid=58501
300,계단 올라갔다 내려오기,/entry.naver?docId=3535613&categoryId=58501&cid=58501
301,줄넘기,/entry.naver?docId=3535614&categoryId=58501&cid=58501
302,트레드밀에서 걷기,/entry.naver?docId=3535615&categoryId=58501&cid=58501
303,실내 자전거타기,/entry.naver?docId=3535616&categoryId=58501&cid=58501
304,실외 자전거타기,/entry.naver?docId=3535617&categoryId=58501&cid=58501
305,달리기,/entry.naver?docId=3535618&categoryId=58501&cid=58501
306,계단 한발 뛰기,/entry.naver?docId=3535620&categoryId=58501&cid=58501
307,계단 두 칸씩 뛰기,/entry.naver?docId=3535621&categoryId=58501&cid=58501
308,계단 두발 뛰기,/entry.naver?docId=3535622&categoryId=58501&cid=58501
309,점프 팔굽혀펴기,/entry.naver?docId=3535623&categoryId=58501&cid=58501
310,버피운동,/entry.naver?docId=3535624&categoryId=58501&cid=58501
311,팔벌려뛰기,/entry.naver?docId=3535625&categoryId=58501&cid=58501
312,사다리 옆으로 발 옮기기,/entry.naver?docId=3535626&categoryId=58501&cid=58501
313,사다리 좌우 뛰기,/entry.naver?docId=3535627&categoryId=58501&cid=58501
314,사다리 안팎 뛰기,/entry.naver?docId=3535628&categoryId=58501&cid=58501
315,뛰어 내렸다가 바로 점프하기,/entry.naver?docId=3535629&categoryId=58501&cid=58501
316,스텝퍼 올라가서 점프하여 착지하기,/entry.naver?docId=3535630&categoryId=58501&cid=58501
317,스텝퍼 옆으로 뛰어넘기,/entry.naver?docId=3535631&categoryId=58501&cid=58501
318,스텝퍼 뛰어서 넘어가기,/entry.naver?docId=3535632&categoryId=58501&cid=58501
319,스텝퍼 뛰어서 오르내리기,/entry.naver?docId=3535633&categoryId=58501&cid=58501
320,스텝퍼 오르내리기,/entry.naver?docId=3535634&categoryId=58501&cid=58501
321,옆으로 펀치하기,/entry.naver?docId=3535635&categoryId=58501&cid=58501
322,무릎 높여 제자리 달리기,/entry.naver?docId=3535636&categoryId=58501&cid=58501
